Accession,Description,Abundance: M1,Abundance: M2,Abundance: M3,Abundance: C1,Abundance: C2,Abundance: C3
P10000,Protein 1,1092.0640115441242,888.3850061537548,1334.694086636771,814.9871052564447,983.1625063573925,958.8903557456057
P10001,Protein 2,986.3131558653778,978.5824597950328,690.614277994877,1012.3223493126842,789.6744899094766,811.0823021318711
P10002,Protein 3,827.2851333894638,1284.8009227827843,1053.2848723399563,833.6181437663904,696.1717462364169,937.7415277603287
P10003,Protein 4,1021.593744029333,1000.5666001682632,1086.6841511117973,810.2596606803181,1005.22276682337,911.7931150251737
P10004,Protein 5,1235.8170430973707,936.9814432391264,917.8088507055975,1021.9770962741213,1027.1700983060864,557.6672562861671
P10005,Protein 6,1128.9492484817558,1065.8883469016985,1258.9529610711174,1239.2777040392018,687.06684476079,980.9808481386397
P10006,Protein 7,756.991809319817,1047.9771507883095,1086.3628316373374,1064.0316555653253,794.8893929099038,742.5851886376031
P10007,Protein 8,1154.0207288193048,1020.5227347075565,1212.758341833874,887.8223377228642,975.9764076280812,1060.7941328207692
P10008,Protein 9,767.9942330205865,748.2021477468405,908.1424271838077,961.9845615758537,1046.8252333162363,989.0960890119959
P10009,Protein 10,1086.3837774459037,623.8953929836904,1040.9087901581142,821.7897980017298,754.4772001407084,995.4780385811931
P10010,Protein 11,953.1168603949104,1450.8137255286254,1056.944265085288,932.494081323018,740.9571824903446,1077.0187479682845
P10011,Protein 12,1058.8742272569118,1119.4640768960764,964.1325912382226,889.5351854784358,631.2829127042651,1137.0530478742078
P10012,Protein 13,1125.9901599066561,1191.8363521035903,994.5810050683173,819.6655425096094,1182.8365618484022,904.5727330216899
P10013,Protein 14,849.2982630649788,1006.5116951193947,901.7063716568405,803.9612377663497,911.9380940331403,995.5625140797227
P10014,Protein 15,916.8543584747239,886.7647733468308,985.587756087668,758.9118954581513,958.9494022870463,888.2302542213689
P10015,Protein 16,859.0571062939728,1214.8999147590139,1143.898771000023,789.8617869303415,990.119028133184,687.0077097982216
P10016,Protein 17,1017.1504348880134,884.8820907151078,1475.1729095817166,912.9863881012993,1000.4968301011234,627.107535396314
P10017,Protein 18,697.4747764002543,951.7500871907396,976.2771502047074,813.2842372542531,908.8801075796206,1017.0480115050298
P10018,Protein 19,1146.2124869268278,768.0730498158113,1128.630757245831,1107.6477026594212,752.4228961042916,779.3612079671938
P10019,Protein 20,997.9320569319608,768.1281434201164,773.6193649564207,1178.8155960817862,678.823939930531,743.727104280714
P10020,Protein 21,999.2255738899437,1327.678537310617,1130.7283111877598,940.7787320199075,893.5155408535081,981.7846168135707
P10021,Protein 22,960.2096590173895,1095.7570652720347,953.6392478109778,823.0472070782366,895.6560521626991,980.0699829233594
P10022,Protein 23,1020.6330171721992,1049.8150520137854,928.4500139540515,678.8249880036399,1070.6890317964424,952.1621407291284
P10023,Protein 24,959.3831162498625,872.9371211810187,1076.3164172944942,860.8046471129518,1176.5221203272308,894.171253950605
P10024,Protein 25,824.6652634300949,683.2176262786725,1172.0972972406198,898.7778038572131,908.4736651646994,879.7718707430819
P10025,Protein 26,963.6132082617983,1192.547408617142,1231.4378484646802,898.8396798058034,730.267882344021,1063.2611902877386
P10026,Protein 27,799.8582242321189,1074.7801300562987,1080.1241268205572,682.5752646090496,822.2631604364549,507.35907336886066
P10027,Protein 28,755.8400015506883,515.8536527167777,801.7809532124825,825.4616980736023,813.3202066633063,677.7432870558068
P10028,Protein 29,865.5427433593744,717.7099655727017,1128.8220116481887,1143.8501885210308,838.5113644005769,996.8493856307616
P10029,Protein 30,1415.6579733937872,703.5236723769779,1100.3773527611881,912.9393285399768,819.8709424546695,771.4787933118026
P10030,Protein 31,1176.2424412369535,841.2206359508099,1211.0142991495911,910.227198831383,865.4840807087687,434.1287804768155
P10031,Protein 32,1058.1365268331886,633.8294157002595,979.6209588857788,1116.1331051467948,816.1344922380588,1114.2074751827695
P10032,Protein 33,721.3368591762699,855.5535000188124,951.4555409732983,955.0998841538798,1046.2704131752484,724.5561141357068
P10033,Protein 34,1077.7657305181485,1057.3359492710636,945.0411906646854,976.2669962474097,732.7482982195637,874.6436061445247
P10034,Protein 35,1091.285736710433,980.0403029117526,846.2978740884485,1006.7206793912611,630.9026571244619,924.292766975068
P10035,Protein 36,1189.1269720284033,1315.9161650410333,668.6742175048382,958.5476317103098,849.6787640149172,1269.2188919821883
P10036,Protein 37,1433.9552354905634,1365.6868921685864,1119.2610479638456,782.3343923125024,1394.3155724261162,1037.9083843207559
P10037,Protein 38,1171.6937717090973,1515.817093299116,511.22454522762456,660.7940022446752,853.0139534080445,720.4749930394266
P10038,Protein 39,1107.9570766350546,1123.4980631153926,1093.1257759429009,685.8837602127192,1016.1050119984109,668.6142579166412
P10039,Protein 40,1278.7051334563523,918.4414728411239,1164.766330489908,954.0869217963101,896.8911573342995,702.9451966357335
P10040,Protein 41,1089.9466475087772,986.9763289508055,1072.0095542052502,1085.1399364206275,982.4138055715277,778.1848647136019
P10041,Protein 42,1229.8626553141894,1205.9410226622465,1093.3189991369925,1039.5465193472191,973.0338252677186,1137.4888964898762
P10042,Protein 43,980.7663787822476,1059.4196796972014,660.8482090981959,1080.5286327957022,963.8019329633682,694.3877366213375
P10043,Protein 44,938.3971265580694,1211.4440917361128,1174.9709511953108,798.9919749013999,1027.227351076116,1077.7784062570754
P10044,Protein 45,1628.6585283277636,795.3175903661315,1106.3756059823563,1087.0402732861103,1212.7926471075184,1077.7798946072949
P10045,Protein 46,972.5370237257605,945.550411407347,1409.6362803612255,939.5954950153981,706.0125445752218,1069.7688581166083
